id,info,description,fp_cost,hp_cost,hp,image_url
2718,Summons two Albinauric spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two Albinaurics.

A strapping duo of cartwheeling spirits who wield ripple swords and spew freezing breath.
Both are second-generation Albinaurics, with dumpy heads that resemble those of frogs.",53.0,,922,https://eldenring.fanapis.com/images/spirits/17f698bf108l0i2rc1o532xfaytwzl.png
2719,Summons ancestral follower spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of an ancestral follower.

A spirit of the horned folk who eschew letters and metalworking. Brawny, and versed in distinctive spiritual arts, this particular tribesman wields a heavy bow.",63.0,,1070,https://eldenring.fanapis.com/images/spirits/17f69c5e05fl0i2rc2ni1ozwjqbtm.png
2720,Summons spirit of Ancient Dragon Knight Kristoff,"Legendary ashen remains.
Use to summon the spirit of Kristoff, the Ancient Dragon Knight.

Spirit of Kristoff, an honorable knight of Leyndell who was also a devout worshipper of the ancient dragons.
His skills strike down foes with thunderbolts, the dragons' weapon of choice.

After the First Defense of Leyndell, Kristoff earned the hero's honor of Erdtree Burial for the feat of capturing Godefroy the Grafted.",108.0,,1440,https://eldenring.fanapis.com/images/spirits/17f69f84b01l0i2rhicosayr42hna.png
2721,Summons three archer spirits,"Ashen remains in which spirits yet dwell.
Use to summon three archer spirits.

Spirits of archers who belonged to the Fallen Hawks, a band of soldiers that once explored the Eternal City. Their arrows are imbued with cold ghostflame.
Though their methods are somewhat crude, they work well as a squadron, firing a hail of arrows in unison at the sound of a war cry.",57.0,,454,https://eldenring.fanapis.com/images/spirits/17f69857498l0i2rc3b57qyly3sydo.png
2722,Summons two avionette soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two avionette soldiers.

Spirits of marionette soldiers with avian features that were created to serve a sorcerer.
Equipped with long-hafted scythes, they also attack from the skies by lobbing fire pots.
Can sometimes malfunction when damaged.",67.0,,646,https://eldenring.fanapis.com/images/spirits/17f69962123l0i2rc3wxphqaa3codo.png
2723,Summons two Azula beastman spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two Azula beastmen.

Spirits of beastmen from doomed Farum Azula, the slowly crumbling ruins in the skies. These ruins are said to be the remains of a giant mausoleum enshrining an ancient dragon, guarded by chosen beastmen who wield weapons clad in lightning.",102.0,,646,https://eldenring.fanapis.com/images/spirits/17f69c1b5ebl0i2rhm76pm5x3fs02f.png
2724,Summons spirit of Banished Knight Engvall,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Engvall, the Banished Knight.

One of the two knights dubbed the Wings of the Storm. Despite his banishment, he rejected the invitation of the Grace-Given Lord, instead keeping watch over a masterless castle for many years, gaining renown as a hero of the fringes.",100.0,,1238,https://eldenring.fanapis.com/images/spirits/17f69bc440el0i2rho6izbci2my7fi.png
2725,Summons spirit of Banished Knight Oleg,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Oleg, the Banished Knight.

One of the two knights known as the Wings of the Storm. After his banishment, he attracted the notice of the Grace-Given Lord and later, having slain a hundred traitors as the Lord's hand, Oleg earned the hero's honor of Erdtree Burial.",100.0,,1238,https://eldenring.fanapis.com/images/spirits/17f69ac4bd0l0i2rc618tsrggfp3kh.png
2726,Summons spirit of Battlemage Hugues,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Battlemage Hugues.

Hugues came from Sellia to study the Haima Conspectus at the academy, where he became a battlemage.
Haima scholars seek to quell conflict with cannon fire and the gavel, but Hugues developed a longing for it.",122.0,,1165,https://eldenring.fanapis.com/images/spirits/17f698e5162l0i2rhsg27fvvcchhh8.png
2727,Summons spirit of Black Knife Tiche,"Legendary ashen remains.
Use to summon the spirit of Black Knife Tiche.

Tiche was one of the assassins who, on the night of the plot, imbued her black knife with the Rune of Death and slew Godwyn the Golden. She was the daughter of the Black Knife Ringleader, Alecto, and was killed protecting her mother during their flight from the royal capital.",132.0,,876,https://eldenring.fanapis.com/images/spirits/17f6970a4e0l0i2rcxy5mhe8469uy7.png
2728,Summons spirit of Blackflame Monk Amon,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Amon, the Blackflame Monk.

Amon swore fealty to the god-slaying black flame, and so became the first fire monk to turn traitor.
Or perhaps it is better said that he fled from the Giants' Flame—out of cowardice.",115.0,,1158,https://eldenring.fanapis.com/images/spirits/17f69de3343l0i2ri02qpv643ynu3.png
2729,Summons spirit of Bloodhound Knight Floh,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Floh, the Bloodhound Knight.

Spirit of a Bloodhound Knight they called the Rabid Stray. Will attack without pause immediately after being summoned.
Floh vowed that there was only one lord he would serve: a true king. And so, the Rabid Stray never found a master.",95.0,,657,https://eldenring.fanapis.com/images/spirits/17f69c882dal0i2rgmqlt6en3tjlqm.png
2730,Summons two clayman spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two claymen.

Bowed with age, these spirits are sluggish but hard to stagger.
The warped remains of priests who searched for revelation in service of the ancient dynasty, they employ two sorceries that produce smaller and larger bubbles.",77.0,,501,https://eldenring.fanapis.com/images/spirits/17f69cb98c7l0i2ri0lmguxpofwvp.png
2731,Summons spirit of Cleanrot Knight Finlay,"Legendary ashen remains.
Use to summon the spirit of the Cleanrot Knight Finlay.

Finlay was one of the few survivors of the Battle of Aeonia, who in an unimaginable act of heroism carried the slumbering demigod Malenia all the way back to the Haligtree. She managed the feat alone, fending off all manner of foes along the way.",127.0,,876,https://eldenring.fanapis.com/images/spirits/17f699877aal0i2rifkvslfle9b9ha.png
2732,Summons Crystalian spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a Crystalian.

Spirit that wields round crystalline blades, both big and small. Its sturdy body, itself hewn from crystal long ago, is hard enough to blunt its opponent's blades, but blows from bludgeoning weapons can shatter it easily.",101.0,,933,https://eldenring.fanapis.com/images/spirits/17f69c7c8b5l0i2ri969yh285riaw5.png
2733,Summons five demi-human spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five demi-humans.

Spirits of demi-humans that are small in stature, but have a violent, brutish disposition. Though they seem somewhat intelligent, when night falls, their blood boils and they become feral.",69.0,,2640,https://eldenring.fanapis.com/images/spirits/17f69beb243l0i2rcptdnjy0wl2nxj.png
2734,Summons spirit of Depraved Perfumer Carmaan,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Carmaan, the depraved perfumer.

Depraved perfumers practice their art for themselves alone. Carmaan was a notably formidable perfumer whose strength rivaled that of heroes, and it is said that he was in search of a secret physick of revivification.",124.0,,973,https://eldenring.fanapis.com/images/spirits/17f69c971e5l0i2ricvamdlfi9hd4e.png
2735,Summons spirit of Dolores the Sleeping Arrow,"One of Seluvis's favorite puppets.
Use to summon the spirit of Dolores the Sleeping Arrow.

Spirit of a handsome archer who dressed in the style of a man. Called the Silent Hunter by some, she fires St. Trina's arrows from her shortbow.

Dolores once belonged to the Roundtable Hold, where she was both a critic and a friend of Gideon the All-Knowing. It was because of her that he and Seluvis went their separate ways.",87.0,,1037,https://eldenring.fanapis.com/images/spirits/17f69f7b11fl0i2rix87eagayvg5or.png
2736,Summons spirit of the Dung Eater,"One of Seluvis's puppets.
Use to summon the spirit of the Dung Eater.

Spirit of a man who murdered thousands and defiled their corpses with the Seedbed Curse.
Wields a spine greatsword and hurls curses.

The Dung Eater despaired at how he met his end.
How hideous and sinister this puppet is, and yet, its utter despair invites one to care for it.",118.0,,1037,https://eldenring.fanapis.com/images/spirits/17f699d3e8fl0i2rijbhqroryzjjtm.png
2737,Summons two fanged imp spirits,"Ashen remains in which spirits yet dwell.
Use to summon two fanged imp spirits.

These spirits are well suited to causing a disturbance, moving nimbly like pests and hurling magic pots.
The two imps seem fond of each other's company.",50.0,,449,https://eldenring.fanapis.com/images/spirits/17f6984b305l0i2rcqq95m4bqpnb0t.png
2738,Summons spirit of Finger Maiden Therolina,"One of Seluvis's puppets.
Use to summon the spirit of the Finger Maiden Therolina.

Spirit of Finger Maiden who never met the Tarnished she was meant to guide. Uses healing incantations and Holy Water Pots, but she is not a fighter by nature and is ill-suited to battle.

A Maiden without a Tarnished. A Tarnished without a Maiden. And yet no guide to bring them together.",82.0,,1037,https://eldenring.fanapis.com/images/spirits/17f69776c1dl0i2rcsqvsjrwpwre1p.png
2739,Summons Fire Monk spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a Fire Monk.

Spirit of a stout monk who monitored the Giants' Flame. Versed in fire incantations, and himself steeled against fire.
Though he was charged with keeping watch over the Flame, after many years of solemn duty, he has succumbed to its allure.",85.0,,1306,https://eldenring.fanapis.com/images/spirits/17f69bd2cd3l0i2riv19z68urypaam.png
2740,Summons three giant rat spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of three giant rats.

Spirits that do not require FP to summon.
The rat spirits appear at a distance from the summoner, swarming upon their victim to start the fight.
Even as spirits, these vermin seem to multiply endlessly. Enhancing these ashes can increase their numbers.",0.0,,429,https://eldenring.fanapis.com/images/spirits/17f69f4e16bl0i2rctgy4eba6y1dq.png
2741,Summons glintstone sorcerer spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a glintstone sorcerer.

Spirit of a Raya Lucaria sorcerer wearing a stone crown.
A scholar of the Olivinus Conspectus, who has mastered the use of the Glintstone Stars sorcery.",49.0,,781,https://eldenring.fanapis.com/images/spirits/17f69e84114l0i2rdbhn73i6cz73tm.png
2742,Summons two Godrick soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two of Godrick's soldiers.

A duo of spirits, consisting of a wielder of devastating charged hammer attacks in the vanguard and a crossbowman bringing up the rear.
The soldiers who serve Godrick the Grafted are what remains of the army that fled the royal capital of the Erdtree.",54.0,,710,https://eldenring.fanapis.com/images/spirits/17f69d490f4l0i2rdevcj5cyogvhec.png
2743,Summons five greatshield soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon five greatshield soldier spirits.

Spirits of greatshield soldiers who belonged to the Fallen Hawks, a band of soldiers that once explored the Eternal City. Stout defenders with a steady guard.
Though their methods are somewhat crude, they work well as a squadron, and will attract the attention of enemies or lob ghostflame from the rearguard.",74.0,,390,https://eldenring.fanapis.com/images/spirits/17f69f56843l0i2rdofm9tav197rzq.png
2744,Summons four Haligtree soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four Haligtree soldiers.

Spirits of common soldiers who carry the sacred light. When weakened, they explode to deliver a last-ditch attack.
This was the bitter revelation discovered by the desperate soldiers who awaited the return of their lord to the rotted Haligtree.

May the flash of our deaths guide Miquella's return.",66.0,,646,https://eldenring.fanapis.com/images/spirits/17f69b464d7l0i2riyiocraa9z2guc.png
2745,Summons Jarwight spirit,"One of Seluvis's puppets.
Use to summon the spirit of a jarwight.

Spirit of a man who wished to become the innards of a living jar. A jar-hurling specialist who throws all manner of pots and jars.

The warrior jar once told the nameless man this:
""You are not yet ready to join the warriors inside. No, you must apply yourself! Better yourself, and one day I will return for you.""",60.0,,1037,https://eldenring.fanapis.com/images/spirits/17f69b77adbl0i2rdg8c9ycaad36y5.png
2746,Summons Kaiden sellsword spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a Kaiden sellsword.

Spirit of a mercenary belonging to a horse-riding folk. Skillfully uses a massive blade made for dismounting other riders, and enhances his already considerable strength with war cries.
The sellswords of Kaiden made their prowess known on countless battlefields.",88.0,,1037,https://eldenring.fanapis.com/images/spirits/17f69dc6c64l0i2rdkqrx6suz8t4k.png
2747,Summons Kindred of Rot spirit,"Ashen remains in which spirits yet dwell.
Use to summon a spirit of the Kindred of Rot.

This spirit takes the form of a crawling pest, its chitinous body making a dry rustling sound.
Attacks enemies by secreting sticky threads.
The Kindred of Rot are the servants of the Goddess of Rot—servants that have been forsaken.",73.0,,1133,https://eldenring.fanapis.com/images/spirits/17f69a4c036l0i2rhgqvv4avdj310g.png
2748,Summons three land squirt spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of three land squirts.
Summoning consumes HP rather than FP.

These spirits appear some distance from the summoner.
The firm, fleshy tubes of the creatures remain rooted to the spot, spraying poisonous liquid over their surroundings.",,240.0,1070,https://eldenring.fanapis.com/images/spirits/17f69be5a2fl0i2rh6qmlpa2s0tpao.png
2749,Summons spirit of Latenna the Albinauric,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Latenna the Albinauric.

A rare case of one who chose to become a spirit voluntarily.

Latenna was renowned as a deft magic archer. But having lost her beloved wolf companion, Lobo, she cannot move from the place where she was summoned.",74.0,,390,https://eldenring.fanapis.com/images/spirits/17f6978cd87l0i2rgbupusbrmdqmhl.png
2750,Summons two Leyndell soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two Leyndell soldiers.

Spirits of soldiers each equipped with a spear and greatshield.
The soldiers of Leyndell fight their battles defensively. During the Shattering, they were the ramparts that fortified the royal capital.",64.0,,774,https://eldenring.fanapis.com/images/spirits/17f69d471b4l0i2rgvwohtrk19bpy.png
2751,Summons spirit of Lhutel the Headless,"Legendary ashen remains.
Use to summon the spirit of Lhutel the Headless.

Spirit of a headless knight who leads the mausoleum soldiers.
Wields a lance enrobed in Death and hurls spectral lances at foes.

Lhutel sacrificed her life so that in Death she could continue to protect a soulless demigod until their revival, earning her the hero's honor of Erdtree Burial.",104.0,,829,https://eldenring.fanapis.com/images/spirits/17f696cd1c3l0i2rdwfiwxjblacnad.png
2752,Summons three lone wolf spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of three lone wolves.

Spirits of wolves chased from their pack. They later encountered a nameless Tarnished, who welcomed them as hunting companions.
The wolf spirits overwhelm enemies with their agility, aiding the summoner in combat.",55.0,,500,https://eldenring.fanapis.com/images/spirits/17f69718dccl0i2rebxuwsfendz6e.png
2753,Summons mad pumpkin head spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a mad pumpkin head.

Spirit of a mad soldier with a large, brawny physique.
Though he has stifled his panic within the dark confines of his helmet, he rampages as if driven mad when agitated by bloodshed or the humming of insects.
This mad soldier is all that is left of a broken gladiator.",110.0,,1229,https://eldenring.fanapis.com/images/spirits/17f698ab785l0i2re2gfjekyqwlm8j.png
2754,Summons man-serpent spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a man-serpent.

Spirit of a deformed man-serpent that wields a whip of magma.
It is said that long ago, the elder serpent that dwelled on Mt. Gelmir devoured a demigod, and the birth of the man-serpents followed.",62.0,,1037,https://eldenring.fanapis.com/images/spirits/17f69bda110l0i2rj2fpyaeegsbkdn.png
2755,Summons two marionette soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two marionette soldiers.

Spirits of marionette soldiers created to serve a sorcerer.
These marionettes are archers, each equipped with a pair of bows.
On the verge of falling apart, they are ill-disciplined and attack without warning.",67.0,,563,https://eldenring.fanapis.com/images/spirits/17f69c24d62l0i2re6lrc9a3zopybr.png
2756,Summons five mausoleum soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five mausoleum soldiers.

Spirits of five headless soldiers who confound foes by disappearing and reappearing at will.
The mausoleum is where the bodies of soulless demigods are lain to rest, and these soldiers followed their masters into Death by severing their own heads from their bodies.",75.0,,326,https://eldenring.fanapis.com/images/spirits/17f69ab4977l0i2rj50c2ffeu71unu.png
2757,Summons mimic tear spirit,"Legendary ashen remains.
Use to summon the spirit of a mimic tear.
Summoning consumes HP rather than FP.

This spirit takes the form of the summoner to fight alongside them, but its mimicry does not extend to imitating the summoner's will.
Mimic tears are the result of an attempt by the Eternal City to forge a lord.",,660.0,1037,https://eldenring.fanapis.com/images/spirits/17f69b5bc8dl0i2redg5p2ojmuksvu.png
2758,Summons five miranda sprout spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five miranda sprouts.
Summoning consumes HP rather than FP.

Spirits of sweet little miranda flowers, carnivorous blossoms that feed upon human flesh. They creep slowly, scattering toxic pollen.
Vulnerable to fire—do take care of the little darlings.",,185.0,500,https://eldenring.fanapis.com/images/spirits/17f69c6b7d1l0i2rgxuyvekun2pas.png
2759,Summons spirit of Nepheli Loux,"One of Seluvis's favorite puppets.
Use to summon the spirit of Nepheli Loux.

Puppet of a warrior who was betrayed by her pure heart. Wields a Stormhawk Axe in both hands and uses the Thunderstorm skill.

A diamond in the rough, deserving of special care lest its potential be squandered. Nepheli Loux truly was a warrior.",90.0,,1037,https://eldenring.fanapis.com/images/spirits/17f69abc3b9l0i2rjr6m5bbrtexdp.png
2760,Summons nightmaiden & swordstress spirits,"An old puppet crafted in the Eternal City.
Use to summon the spirits of a nightmaiden and a swordstress.

These sisters, members of a cold-blooded race who wield flowing weapons, became puppets of their own volition.",97.0,,838,https://eldenring.fanapis.com/images/spirits/17f69a3cc86l0i2rej3i1ddya1oiq9.png
2761,Summons noble sorcerer spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11.0,,711,https://eldenring.fanapis.com/images/spirits/17f69a2890el0i2renh0xht1xcqkfe.png
2762,Summons nomad spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a nomad.

A member of a tribe that was entombed in the earth so as to bury the maddening disease that followed them. Able to emit the terrible flame of frenzy from his eyes, but has low HP and is frail, unable to take much in the way of punishment.",61.0,,359,https://eldenring.fanapis.com/images/spirits/17f69cba9a9l0i2reprf9ja1xfjpg.png
2763,Summons spirit of Omenkiller Rollo,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Omenkiller Rollo.

Spirit of Rollo, known as the first Omenkiller.
Once a famous perfumer, Rollo imbibed a physick to rid himself of emotion, thus enabling him to enact his nightmarish labor, hunting the Omen.",113.0,,1037,https://eldenring.fanapis.com/images/spirits/17f69b8b45cl0i2revtxehcf0mla2c.png
2764,Summons four Oracle Envoy spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four Oracle Envoys.

Spirits of a monstrous band of musicians who employ sacred arts. It is said that when Oracle Envoys appear, playing their pipes, they do so to herald the arrival of a new god, or a new age.",72.0,,570,https://eldenring.fanapis.com/images/spirits/17f69663925l0i2rjhexap3mp9otq.png
2765,Summons page spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a page.

Spirit of a page who traveled at the side of the noble he served. Uses a piercing sword and crossbow to defend his master.
One becomes a page merely by accident of being born into obscurity; nothing is asked of ability, talent, or volition.",81.0,,973,https://eldenring.fanapis.com/images/spirits/17f69f00316l0i2rf7rq3l4lzz67b.png
2766,Summons spirit of Perfumer Tricia,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Tricia, the perfumer.

Tricia was once known as a healer who dedicated her efforts to treating Misbegotten, Omen, and all those seen as impure. When her efforts failed, she was their companion as they died, watching over them to ensure that they could pass peacefully, free of pain.

A tale akin to the origins of the deathbed companions.",78.0,,518,https://eldenring.fanapis.com/images/spirits/17f69b927b9l0i2rgoqeiknjm21fba.png
2767,Summons four putrid corpse spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of four putrid corpses.

These spirits appear some distance from the summoner. Though their movements are dull and confused, their low moans make them effective at drawing the attention of enemies. True death does not come easily for them.",40.0,,1631,https://eldenring.fanapis.com/images/spirits/17f69b254ffl0i2rjlmj6dtmbbwve.png
2768,Summons two Radahn soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two of Radahn's soldiers.

Both spirits wield fiery weapons to perform powerful skills. Such is their valor that they will immediately attack after being summoned.

General Radahn's soldiers were all reputed to be masterful warriors, and it was popularly said that the Redmanes knew no weakness.",71.0,,646,https://eldenring.fanapis.com/images/spirits/17f69ce3ebfl0i2rjo4bbtu73ia5tu.png
2769,Summons three Raya Lucaria soldier spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of three Raya Lucaria soldiers.

A trio of spirits, consisting of two disposable foot soldiers and their superior.
The soldiers of Raya Lucaria were also known as the Cuckoos. They were given free rein by the academy to wage war as they pleased, and they were infamous for their rapacious ways.",59.0,,582,https://eldenring.fanapis.com/images/spirits/17f69adba9el0i2rf0sm2c9jcpc2m.png
2770,Summons spirit of Redmane Knight Ogha,"Legendary ashen remains.
Use to summon the spirit of Ogha, the Redmane Knight.

Spirit of a mighty knight versed in the use of a greatbow.
A valiant warrior who will attack immediately after being summoned.

The longest-serving member of the Redmane Knights, Ogha studied techniques to manipulate gravity alongside Radahn.
May use a rain of gravitational arrows in response to a war cry, but only once.",106.0,,1187,https://eldenring.fanapis.com/images/spirits/17f69eb8a3dl0i2rjqdm5kzaa1sd9k.png
2771,Summons rotten stray spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a rotten stray.

Spirit of a stray dog corrupted by the scarlet rot.
Though it is only a small creature, it is as violent as it is nimble, and its fangs fester with poisonous rot.",35.0,,781,https://eldenring.fanapis.com/images/spirits/17f69732716l0i2rg3m2el64hvaq0m.png
2772,Summons skeletal bandit spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a skeletal bandit.

This is the spirit of a bandit who lives in Death, and will continue to rise again until properly finished off.
After the night of the plot, Deathroot appeared in the Lands Between, and Those Who Live in Death soon followed.",22.0,,563,https://eldenring.fanapis.com/images/spirits/17f69c7c032l0i2rfjqjylurrvvo1l.png
2773,Summons two skeletal militiaman spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of two skeletal militiamen.

These are the spirits of militiamen who live in Death, and will continue to rise again until properly finished off.
This is the grotesque fate of those who come into contact with Deathroot.",44.0,,365,https://eldenring.fanapis.com/images/spirits/17f69a1eaddl0i2rfd40p6zlanz41sf.png
2774,Summons three little living jar spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of three little living jars.
Summoning consumes HP rather than FP.

These reckless spirits sacrifice themselves to vanquish their summoner's foes, and explode upon death.
Though their bravery is admirable, their explosions can harm friend as well as foe, and they will also immediately explode on contact with fire.

""Tell the others—tell them how brightly a fire jar burns.""",,135.0,507,https://eldenring.fanapis.com/images/spirits/17f69ddaf0fl0i2rjyrykqzpcxfre.png
2775,Summons spirit jellyfish,"Ashen remains in which spirits yet dwell.
Use to summon a spirit jellyfish.

A floating spirit that illuminates its surroundings. 
Prone to tears, the jellyfish girl searches for her distant home. Will bravely spew poison at foes on her summoner's behalf.

It seems her name is Aurelia.",31.0,,909,https://eldenring.fanapis.com/images/spirits/17f697066c0l0i2rfjc7ykblsby5ox.png
2776,Summons spirit of Stormhawk Deenh,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of Deenh the Stormhawk.

Spirit of a fierce hawk that faithfully rendered lifelong service to the old king of Stormveil long ago, when the true storm raged. Its cries embolden its fellows in battle, and the tempestuous winds that encircle it shred through foes.",47.0,,711,https://eldenring.fanapis.com/images/spirits/17f69ecd388l0i2rfmox0cljjuuri.png
2777,Summons Twinsage sorcerer spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a Twinsage sorcerer.

Spirit of a Raya Lucaria sorcerer wearing a stone crown.
Those who study the Twinsage Conspectus are the academy's elite, capable of mastering the Glintstone Cometshard and Crystal Burst sorceries.",89.0,,852,https://eldenring.fanapis.com/images/spirits/17f69bf3136l0i2rfs0407qepaxpho.png
2778,Summons three vulgar militia spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of three vulgar militiamen.

Spirits of the vulgar militia who wield long-hafted, serrated hatchets. These brutal weapons are particularly effective at causing blood loss to opponents.
In the Lands Between, the small were scorned, and so they formed their vulgar militia as a means to make a living, albeit in ignominy.",70.0,,518,https://eldenring.fanapis.com/images/spirits/17f6987842cl0i2rh0v17nw2hyrdslh.png
2779,Summons five wandering noble spirits,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28.0,,429,https://eldenring.fanapis.com/images/spirits/17f69871c91l0i2rfwnjft8senytx.png
2780,Summons warhawk spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a warhawk.

Spirit of a Stormveil warhawk, the talons of which have been sliced off so that razor-fine swords could be grafted in their place.
With its lord vanquished, and its wings wounded, the hawk perished as it solemnly gazed at its former home.
The storm is a warhawk's cradle.",52.0,,993,https://eldenring.fanapis.com/images/spirits/17f69e64c4al0i2rg6ksmiwxmcgad.png
2781,Summons winged misbegotten spirit,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a winged misbegotten.

A spirit with the aspect of wings which takes flight to loose arrows from its bow. The misbegotten are held to be a punishment for making contact with the Crucible, and from birth they are treated as slaves, or worse.",37.0,,646,https://eldenring.fanapis.com/images/spirits/17f69ba4ffal0i2rgd5rdlvueh3v0q.png
